Vardas         Pavarde        ND1   ND2   ND3   ND4   ND5   ND6   ND7   ND8   ND9   ND10  ND11  ND12  ND13  ND14  ND15  Egz.  
Vardas1        Pavarde1       2     2     1     2     6     9     8     10    4     4     9     8     10    7     1     10    
Vardas2        Pavarde2       6     1     8     3     3     3     5     7     1     10    6     4     10    5     7     4     
Vardas3        Pavarde3       6     5     8     8     6     2     4     2     9     8     8     3     8     7     3     5     
Vardas4        Pavarde4       4     7     6     8     10    5     7     3     5     5     5     4     4     10    9     9     
Vardas5        Pavarde5       6     5     5     3     6     8     3     9     8     1     7     3     8     8     3     3     
Vardas6        Pavarde6       5     2     1     1     10    9     2     8     1     6     7     10    6     10    5     5     
Vardas7        Pavarde7       3     2     2     7     1     7     4     1     10    8     1     7     9     5     5     2     
Vardas8        Pavarde8       10    3     3     8     6     8     10    9     4     7     8     3     7     1     7     8     
Vardas9        Pavarde9       8     6     1     8     8     4     7     9     3     7     1     10    6     5     7     6     
Vardas10       Pavarde10      4     4     6     3     9     2     8     6     8     10    6     3     3     8     1     4     
Vardas11       Pavarde11      2     2     7     5     6     8     3     9     10    1     1     1     6     5     9     8     
Vardas12       Pavarde12      4     1     3     6     10    7     6     5     4     6     8     6     7     10    5     8     
Vardas13       Pavarde13      9     1     1     9     2     1     10    6     3     3     6     7     4     1     7     10    
Vardas14       Pavarde14      1     3     10    5     1     4     10    9     1     6     4     6     1     8     3     8     
Vardas15       Pavarde15      10    8     5     10    3     3     3     10    1     9     2     6     5     5     8     4     
Vardas16       Pavarde16      2     1     2     5     5     2     2     2     10    2     5     2     2     6     8     7     
Vardas17       Pavarde17      2     1     2     10    6     5     8     7     4     3     2     6     8     1     6     7     
Vardas18       Pavarde18      8     3     4     9     7     4     8     8     8     3     6     5     7     2     10    4     
Vardas19       Pavarde19      6     3     6     7     6     8     8     4     1     4     10    3     1     2     2     4     
Vardas20       Pavarde20      5     10    10    10    8     9     2     6     7     4     1     5     9     6     2     8     
Vardas21       Pavarde21      3     2     5     7     4     7     5     3     7     3     3     10    1     8     1     7     
Vardas22       Pavarde22      6     1     8     2     7     5     10    6     8     1     4     6     1     10    7     3     
Vardas23       Pavarde23      3     1     5     3     8     2     10    2     9     1     7     5     1     3     9     10    
Vardas24       Pavarde24      8     8     6     9     7     6     7     3     10    7     5     6     7     10    1     8     
Vardas25       Pavarde25      5     5     8     6     5     3     9     8     4     7     1     6     6     8     4     5     
Vardas26       Pavarde26      4     6     4     4     5     5     5     1     8     1     4     10    4     6     4     10    
Vardas27       Pavarde27      7     2     10    2     10    6     5     1     6     7     3     1     1     3     1     4     
Vardas28       Pavarde28      7     8     3     6     2     1     9     6     4     1     10    10    9     6     3     1     
Vardas29       Pavarde29      8     9     10    7     8     5     10    1     8     7     8     4     5     7     7     10    
Vardas30       Pavarde30      10    10    8     8     4     4     6     1     6     4     5     10    7     4     6     5     
Vardas31       Pavarde31      4     10    6     2     6     2     4     9     10    8     4     2     3     3     10    10    
Vardas32       Pavarde32      4     3     3     4     4     1     7     2     10    3     4     7     7     1     8     3     
Vardas33       Pavarde33      2     10    7     1     5     1     3     3     7     9     2     10    7     7     3     4     
Vardas34       Pavarde34      7     5     5     8     10    3     7     5     10    10    3     2     8     4     1     5     
Vardas35       Pavarde35      5     10    2     4     8     4     5     4     1     2     4     3     10    8     2     10    
Vardas36       Pavarde36      2     3     10    2     10    4     10    3     7     3     1     3     5     4     2     1     
Vardas37       Pavarde37      7     8     5     10    7     1     9     6     7     8     2     7     7     5     9     2     
Vardas38       Pavarde38      4     6     10    8     1     5     1     5     9     9     2     8     5     9     5     8     
Vardas39       Pavarde39      1     1     8     9     1     2     8     7     8     4     8     2     3     5     10    1     
Vardas40       Pavarde40      2     2     7     3     10    9     9     7     5     7     9     7     3     5     2     7     
Vardas41       Pavarde41      7     6     6     8     10    1     2     8     2     8     4     9     5     2     9     8     
Vardas42       Pavarde42      1     6     10    6     5     4     4     3     1     4     4     8     1     3     1     3     
Vardas43       Pavarde43      10    9     8     9     4     4     8     5     2     3     1     2     10    10    8     7     
Vardas44       Pavarde44      8     5     5     2     1     2     9     7     7     4     10    3     4     10    2     10    
Vardas45       Pavarde45      8     5     2     10    10    2     4     5     6     2     2     3     1     8     1     2     
Vardas46       Pavarde46      6     5     9     10    4     6     10    7     5     4     1     2     3     9     10    4     
Vardas47       Pavarde47      8     9     3     4     5     6     2     4     9     3     7     3     4     3     7     1     
Vardas48       Pavarde48      1     8     6     8     5     1     7     8     9     1     6     5     9     10    7     5     
Vardas49       Pavarde49      1     9     1     7     5     2     2     4     7     6     9     8     2     4     2     9     
Vardas50       Pavarde50      4     2     9     2     10    8     4     1     6     7     9     2     3     6     2     3     
Vardas51       Pavarde51      2     5     4     4     2     9     10    8     1     4     2     7     5     9     5     8     
Vardas52       Pavarde52      7     1     6     4     8     6     9     2     7     9     6     5     4     10    2     3     
Vardas53       Pavarde53      10    4     4     3     3     4     10    8     4     4     8     10    8     4     7     8     
Vardas54       Pavarde54      9     5     1     9     4     1     9     3     5     9     1     2     9     2     3     5     
Vardas55       Pavarde55      8     9     3     8     2     3     5     10    9     1     7     7     7     7     10    10    
Vardas56       Pavarde56      2     2     6     10    3     1     4     10    10    10    10    1     5     3     1     5     
Vardas57       Pavarde57      1     1     5     10    8     1     5     7     3     10    9     3     3     4     10    3     
Vardas58       Pavarde58      5     10    7     3     8     5     7     2     1     7     7     1     2     3     3     3     
Vardas59       Pavarde59      3     3     8     3     4     8     5     5     8     3     1     2     5     1     2     5     
Vardas60       Pavarde60      7     3     9     10    7     8     5     10    7     10    10    3     1     10    6     2     
Vardas61       Pavarde61      7     7     8     5     9     7     6     4     1     6     5     2     3     1     1     10    
Vardas62       Pavarde62      2     10    2     10    5     2     6     4     9     1     4     2     10    5     6     10    
Vardas63       Pavarde63      2     3     6     4     2     1     10    3     10    2     4     2     8     3     9     3     
Vardas64       Pavarde64      7     8     5     5     8     2     4     2     10    1     9     10    1     8     10    5     
Vardas65       Pavarde65      1     2     10    7     4     6     5     8     2     2     7     6     8     6     5     10    
Vardas66       Pavarde66      8     2     10    3     4     1     1     8     10    3     5     9     5     3     4     4     
Vardas67       Pavarde67      1     7     5     3     10    7     6     10    3     10    4     4     8     4     9     1     
Vardas68       Pavarde68      8     10    10    10    6     1     1     8     10    4     4     4     7     10    10    2     
Vardas69       Pavarde69      5     2     2     2     8     3     8     1     8     5     7     5     4     4     7     6     
Vardas70       Pavarde70      3     8     9     1     9     3     3     7     8     5     2     9     5     6     8     5     
Vardas71       Pavarde71      8     10    7     10    1     2     5     1     10    10    4     4     3     6     3     4     
Vardas72       Pavarde72      2     9     5     1     1     2     10    4     7     6     9     8     10    6     4     5     
Vardas73       Pavarde73      6     10    8     1     7     3     6     1     3     7     9     9     4     1     1     7     
Vardas74       Pavarde74      10    4     5     10    10    6     6     3     7     3     7     4     10    4     2     1     
Vardas75       Pavarde75      8     8     4     8     6     4     5     7     6     3     8     6     10    4     5     3     
Vardas76       Pavarde76      4     2     5     6     1     5     10    4     1     5     2     6     4     3     8     7     
Vardas77       Pavarde77      7     1     3     8     5     6     4     4     3     7     3     5     8     3     9     4     
Vardas78       Pavarde78      5     6     8     5     8     4     6     10    10    3     5     4     10    10    8     7     
Vardas79       Pavarde79      8     10    6     5     1     10    3     4     3     1     5     10    4     7     8     4     
Vardas80       Pavarde80      1     6     8     2     6     6     6     3     3     9     8     8     1     3     4     3     
Vardas81       Pavarde81      2     5     9     5     8     10    4     9     6     10    2     1     7     10    2     2     
Vardas82       Pavarde82      1     8     8     1     5     2     8     9     9     2     10    10    4     5     7     6     
Vardas83       Pavarde83      2     6     7     6     4     5     9     10    9     4     2     8     1     9     8     9     
Vardas84       Pavarde84      1     7     2     6     3     5     7     5     6     9     2     10    5     10    9     5     
Vardas85       Pavarde85      3     10    2     9     10    5     8     7     9     2     9     8     5     1     9     10    
Vardas86       Pavarde86      7     6     10    8     3     7     5     3     9     3     4     1     3     7     4     10    
Vardas87       Pavarde87      10    10    6     8     2     5     5     6     3     7     1     10    5     10    5     7     
Vardas88       Pavarde88      2     5     6     4     4     4     7     8     7     8     8     10    4     5     8     7     
Vardas89       Pavarde89      4     7     5     1     9     10    1     6     8     5     2     5     4     7     4     2     
Vardas90       Pavarde90      3     3     4     8     6     3     1     2     1     2     3     5     7     10    7     2     
Vardas91       Pavarde91      5     1     4     3     5     1     2     9     7     9     10    1     5     5     7     8     
Vardas92       Pavarde92      2     4     5     4     3     9     6     3     9     8     6     6     4     5     4     6     
Vardas93       Pavarde93      10    3     3     5     8     4     4     3     4     5     10    7     2     6     5     9     
Vardas94       Pavarde94      9     7     3     7     2     2     10    10    1     7     5     6     2     1     4     6     
Vardas95       Pavarde95      6     2     5     9     10    1     7     9     8     4     10    7     6     3     4     7     
Vardas96       Pavarde96      7     7     9     5     7     1     7     7     1     4     1     7     4     10    5     2     
Vardas97       Pavarde97      6     6     8     1     5     6     1     5     7     9     9     9     7     3     7     9     
Vardas98       Pavarde98      5     8     3     8     3     7     7     10    9     1     8     3     3     6     4     2     
Vardas99       Pavarde99      7     4     9     2     4     1     4     2     7     10    10    4     2     8     2     9     
Vardas100      Pavarde100     5     7     4     8     9     2     10    2     6     6     6     5     10    4     1     8     
