Vardas         Pavarde        ND1   ND2   ND3   ND4   ND5   ND6   ND7   ND8   ND9   ND10  ND11  ND12  ND13  ND14  ND15  Egz.  
Vardas1        Pavarde1       8     5     2     1     7     5     7     10    5     5     6     1     1     5     10    5     
Vardas2        Pavarde2       2     1     4     3     3     8     10    8     2     7     4     8     8     5     6     10    
Vardas3        Pavarde3       10    10    9     1     2     10    8     5     4     8     9     4     3     8     1     2     
Vardas4        Pavarde4       9     8     10    9     6     6     7     3     10    2     10    3     9     3     2     7     
Vardas5        Pavarde5       4     3     3     2     3     3     10    5     10    2     7     7     6     6     6     10    
Vardas6        Pavarde6       3     7     8     7     1     8     4     4     6     6     9     3     3     9     8     5     
Vardas7        Pavarde7       3     8     8     4     8     8     1     4     9     4     7     2     6     9     5     9     
Vardas8        Pavarde8       3     2     4     3     9     4     9     4     3     8     1     4     7     8     10    3     
Vardas9        Pavarde9       3     6     5     3     6     7     4     3     4     5     7     5     6     1     8     5     
Vardas10       Pavarde10      10    10    7     3     1     3     7     4     4     9     4     2     8     6     1     8     
Vardas11       Pavarde11      5     10    8     9     5     5     4     1     1     3     6     7     4     1     6     6     
Vardas12       Pavarde12      8     2     8     2     6     5     6     5     6     2     10    2     7     7     7     1     
Vardas13       Pavarde13      2     6     2     7     1     4     7     3     10    7     1     2     6     6     3     10    
Vardas14       Pavarde14      8     6     3     8     1     5     4     1     5     3     1     9     10    10    1     5     
Vardas15       Pavarde15      7     2     8     8     9     10    1     1     2     3     1     6     8     8     6     9     
Vardas16       Pavarde16      10    3     2     4     6     6     3     5     6     10    3     4     8     8     1     7     
Vardas17       Pavarde17      7     9     8     4     2     1     6     7     2     5     3     2     3     4     1     7     
Vardas18       Pavarde18      5     2     4     2     4     6     3     8     1     10    2     1     10    1     6     10    
Vardas19       Pavarde19      6     4     7     3     3     4     10    4     4     2     5     6     5     1     5     2     
Vardas20       Pavarde20      3     3     4     4     3     6     2     4     5     4     5     8     9     10    6     7     
Vardas21       Pavarde21      9     10    3     3     9     1     6     8     6     6     2     2     5     1     2     4     
Vardas22       Pavarde22      2     3     6     3     9     3     2     9     6     2     10    3     2     4     1     4     
